date_match,ligue_name,home_team,away_team,chance_home,chance_draw,chance_away,tips,home_odds,draw_odds,away_odds,final_result,goal_result_home,goal_result_away,value_home,value_draw,value_away
01-03 17:15,morocco botola,ca youssoufia berrechid,wydad ac,15.0,32.0,54.0,X2,3.95,3.1,1.82,0:0,0,0,0.5925,0.992,29.16
01-03 17:30,italy serie b,brescia calcio,perugia calcio spa,54.0,29.0,18.0,1X,2.16,3.0,3.45,2:1,2,1,1.1664,0.87,3.24
01-03 17:30,italy serie b,ternana calcio,pordenone calcio,56.0,24.0,20.0,1,1.68,3.35,5.2,1:0,1,0,0.9408,0.804,4.0
01-03 17:30,italy serie b,benevento calcio,us cremonese,26.0,44.0,30.0,X2,2.35,2.9,3.15,1:1,1,1,0.611,1.276,9.0
01-03 17:55,romania liga i,fc u craiova 1948,fc rapid buracesti,33.0,43.0,25.0,1X,2.29,2.85,3.2,3:2,3,2,0.7557,1.2255,6.25
01-03 18:00,egypt premier league,pharco fc,al ahly sc (egy),30.0,23.0,48.0,12,5.8,3.4,1.56,1:4,1,4,1.74,0.782,23.04
01-03 18:00,germany 3rd liga,tsv 1860 münchen,1. fc kaiserslautern,32.0,26.0,42.0,12,2.9,3.1,2.43,2:1,2,1,0.928,0.806,17.64
01-03 18:00,estonia premium liiga,parnu jk vaprus,paide linnameeskond,24.0,8.0,68.0,2,17.0,7.6,1.09,1:3,1,3,4.08,0.608,46.24
01-03 18:00,spain copa de sm la reina,alhama cf femenino,real madrid,30.0,7.0,62.0,2,26.0,8.0,1.05,0:3,0,3,7.8,0.56,38.44
01-03 18:30,switzerland challenge league,fc thun,neuchatel xamax fcs,48.0,18.0,34.0,12,1.95,3.35,3.45,1:2,1,2,0.936,0.603,11.56
01-03 18:30,switzerland challenge league,fc schaffhausen,stade lausanne-ouchy,42.0,19.0,39.0,12,2.39,3.2,2.7,0:1,0,1,1.0038,0.608,15.21
01-03 19:00,france national,fc villefranche-beaujolais,us boulogne,55.0,20.0,24.0,1,1.86,3.05,4.5,2:1,2,1,1.023,0.61,5.76
01-03 19:00,hungary magyar cup,budapest honved fc,ferencvaros budapest,21.0,22.0,57.0,2,3.5,3.3,1.84,0:1,0,1,0.735,0.726,32.49
01-03 19:00,netherlands eerste divisie,fc emmen,helmond sport,54.0,14.0,32.0,12,1.21,5.8,10.0,1:2,1,2,0.6534,0.812,10.24
